catégorie	lemme	relation	catégorie	lemme	compte	IM
VERB	annuler	au	NOUN	regard	1	14.03145711498356
VERB	confirmer	en	NOUN	revanche	1	14.33631169651198
NOUN	salon	nmod	NOUN	week	1	9.850127350268998
NOUN	salon	nmod	NOUN	-	1	5.423598438275877
NOUN	salon	nmod	NOUN	end	1	10.057452323516504
NOUN	rencontre	nmod	NOUN	rencontre	2	8.788963487590602
VERB	comprendre	obj	NOUN	dossier	1	8.420959522155266
VERB	avoir	obj	NOUN	malchance	1	10.279116294930438
VERB	devenir	obj	NOUN	sujet	1	5.887527322074192
VERB	devenir	obj	NOUN	lieu	1	5.216150069535562
VERB	devenir	nsubj	NOUN	opéra	1	9.49896203415654
VERB	imposer	sur	NOUN	scène	1	9.77092956476034
VERB	débaucher	obj	NOUN	fonctionnaire	1	14.779918347987595
VERB	pose	obj	NOUN	terme	1	9.258867611086632
VERB	bénéficier	nsubj	NOUN	réseau	1	8.193153604632453
NOUN	rempart	nmod	NOUN	attaque	1	11.304833465038813
VERB	lever	entrer	NOUN	gravité	1	16.253849536320008
VERB	parler	nsubj	NOUN	e.	1	12.194955847266439
VERB	parler	nsubj	NOUN	industrie	1	9.539604018653884
VERB	revenir	à	NOUN	conférence	1	9.22165071393186
VERB	adopter	nsubj	NOUN	assemblée	6	9.743708096025316
NOUN	immigration	nmod	NOUN	pays	1	6.691607112098935
VERB	adopter	après	NOUN	rejet	2	14.175847024318735
VERB	revendiquer	comme	NOUN	victoire	1	10.629358671412215
VERB	mettre	obj	NOUN	république	1	5.175698728585357
VERB	mettre	nsubj	NOUN	inconsistance	1	12.765563055010524
VERB	mettre	en	NOUN	danger	3	7.574369436814561
NOUN	secteur	nmod	NOUN	partie	1	9.294491520817353
NOUN	transition	nmod	NOUN	mythe	1	14.838812037041164
NOUN	mythe	nmod	NOUN	transition	1	12.980831041913591
NOUN	transition	nmod	NOUN	mot	1	10.884615726654289
VERB	mener	dans	NOUN	mur	1	11.668887035598852
VERB	vendre	obj	NOUN	matinale	1	9.812749740454969
NOUN	matinale	nmod	NOUN	tv	1	14.838812037041164
NOUN	matinale	nmod	NOUN	type	1	13.379380418403866
VERB	pencher	sur	NOUN	matinale	1	9.118852868180648
VERB	peindre	obj	NOUN	chasseur	1	14.516883942153802
VERB	durer	jusque	NOUN	milieu	1	11.412547282339066
VERB	proposer	obj	NOUN	interview	1	6.887527322074192
VERB	accuser	nsubj	NOUN	petit-fils	1	13.101846442874958
VERB	accuser	de	NOUN	génocide	2	9.035757252417184
VERB	proposer	en	NOUN	exclusivité	1	13.616419615704716
VERB	plomber	obj	NOUN	un	1	3.689223673524635
VERB	voir	obj	NOUN	déferlante	1	11.79441791768271
VERB	préaparer	obj	NOUN	pire	1	14.379380418403866
VERB	comprendre	obj	NOUN	qualité	1	8.479062476718834
VERB	accélérer	obj	NOUN	carrière	1	9.079478629846504
VERB	permettre	nsubj	NOUN	remaniement	1	7.633426041010406
VERB	contredire	nsubj	NOUN	qualité	1	12.233949978882302
VERB	permettre	de	VERB	comprendre	1	5.799778770348438
VERB	écarquiller	obj	NOUN	oeil	1	14.668887035598852
VERB	écarquiller	nsubj	NOUN	dirigeant	1	13.379380418403866
NOUN	capitalisme	nmod	NOUN	ultra-riche	1	17.42377453776232
VERB	écarquiller	devant	NOUN	prophète	1	18.42377453776232
VERB	rattraper	par	NOUN	chanson	1	10.689064917536482
VERB	faire	obj	NOUN	dry	1	7.090619187451703
VERB	boire	obj	NOUN	alcool	1	12.110891582477965
VERB	faire	obj	NOUN	point	28	6.410134075686257
VERB	consister	à	VERB	boire	1	12.516883942153802
VERB	boire	pendant	NOUN	mois	1	10.299653225933133
VERB	avoir	obj	NOUN	hégémonie	1	8.279116294930438
VERB	parler	de	NOUN	média	1	7.476868263305922
VERB	faire	obj	NOUN	garde	1	2.623013637368706
VERB	blanchir	nsubj	NOUN	copain	1	17.838812037041162
VERB	tenir	avant	NOUN	affaire	1	11.401406724733866
VERB	pose	obj	NOUN	question	6	10.3434011212983
VERB	avoir	obj	NOUN	chômage	1	4.446226280765695
VERB	savoir	nsubj	NOUN	question	1	7.317866029191162
VERB	être	de	VERB	savoir	1	6.972563425929991
VERB	mettre	obj	NOUN	présence	1	5.100930960183385
VERB	mettre	nsubj	NOUN	enquête	1	4.310235834705964
VERB	mettre	au	NOUN	jour	5	7.239209085316164
VERB	dézinguer	obj	NOUN	écran	1	12.446494614262404
VERB	faire	obj	NOUN	école	1	2.7155797561047788
VERB	revenir	sur	NOUN	affaire	3	6.166190263039834
VERB	révéler	au	NOUN	public	4	10.551099657491713
VERB	révéler	par	NOUN	lanceur	2	14.401406724733866
NOUN	voeu	nmod	NOUN	mensonge	1	15.838812037041164
VERB	exposer	obj	NOUN	raison	1	8.231481723291553
VERB	pousser	obj	NOUN	électeur	1	11.268956428710215
VERB	prendre	nsubj	NOUN	droite	1	5.753007656763078
NOUN	extrême	nmod	NOUN	tour	1	10.412547282339066
NOUN	extrême	nmod	NOUN	partie	1	10.616419615704716
VERB	pousser	à	VERB	voter	1	9.426595056824699
VERB	avoir	dans	NOUN	vidéo	1	6.311335030980768
VERB	prendre	dans	NOUN	pays	1	6.251034520712953
VERB	monter	obj	NOUN	chômage	1	10.13145290496028
VERB	augmenter	nsubj	NOUN	taux	2	7.769138509234352
VERB	parler	en	NOUN	moment	1	10.077260804596685
NOUN	8ème	nmod	NOUN	rencontre	1	12.110891582477965
VERB	dérouler	en	NOUN	novembre	1	10.873027752379077
VERB	dire	obj	NOUN	vérité	1	10.635871978370888
VERB	lancer	obj	NOUN	campagne	3	7.370187994123145
NOUN	vœu	nmod	NOUN	an	1	7.171700494966136
VERB	décider	de	VERB	dire	1	5.3662058058998
VERB	revoici	après	NOUN	vœu	1	14.779918347987595
VERB	traduire	obj	NOUN	montée	1	13.379380418403866
NOUN	alarme	nmod	NOUN	alarme	1	15.723334819621227
VERB	marquer	par	NOUN	agitation	1	14.33631169651198
VERB	conduire	à	NOUN	élection	1	9.066222533144236
VERB	soutenir	par	NOUN	parti	1	9.033605581562137
VERB	alimenter	par	NOUN	crainte	1	13.900212581705308
VERB	bouleverser	obj	NOUN	pays	1	6.59207143854802
VERB	bouleverser	nsubj	NOUN	catastrophe	1	11.67558168817286
NOUN	octobre	nmod	NOUN	octobre	28	11.788185963971197
NOUN	catastrophe	nmod	NOUN	réminiscence	1	15.616419615704716
VERB	désavouer	pour	NOUN	totalité	1	17.42377453776232
VERB	achever	obj	NOUN	république	1	10.54725759119732
VERB	déclarer	nsubj	NOUN	ministre	5	6.35640740574091
VERB	valoir	de	VERB	rappeler	1	12.379380418403866
VERB	déclarer	au	NOUN	mois	1	8.714690725211977
VERB	faire	obj	NOUN	an	4	1.4235076453766757
VERB	gouverne	obj	NOUN	état	1	10.873027752379077
VERB	faire	au	NOUN	total	1	9.057452323516504
VERB	remporter	obj	NOUN	élection	7	8.334418644093809
VERB	remporter	nsubj	NOUN	droite	1	6.774069272290908
VERB	compte	de	NOUN	pays	1	10.49896203415654
VERB	exister	nsubj	NOUN	méritocratie	1	15.616419615704716
VERB	devoir	nsubj	NOUN	média	1	5.004999541430402
VERB	devoir	dans	NOUN	culture	1	11.493037200199433
VERB	réussir	par	NOUN	force	1	12.083924534877696
VERB	mener	obj	NOUN	combat	2	8.182983205600362
VERB	présente	obj	NOUN	nouveauté	1	9.356340177005798
VERB	manger	obj	NOUN	riche	1	12.253849536320008
VERB	targuer	obj	NOUN	ministre	1	9.55804126691056
VERB	”	nsubj	NOUN	crise	1	11.070627712264237
VERB	réarmer	obj	NOUN	face	1	9.119993789585216
VERB	apparaître	nsubj	NOUN	hypothèse	1	12.723334819621227
VERB	effondrer	nsubj	NOUN	barrage	1	9.12456651937504
VERB	apparaître	de	VERB	effondrer	1	13.194955847266439
VERB	réarmer	au	NOUN	danger	1	13.668887035598852
VERB	effondrer	au	NOUN	fil	1	13.931921441432646
VERB	faire	obj	NOUN	sujet	1	3.0138035904008724
VERB	faire	nsubj	NOUN	journaliste	2	3.8454313327852656
NOUN	crise	nmod	NOUN	loi	1	6.330356973374359
NOUN	fabrique	nmod	NOUN	semaine	1	9.291917577153527
NOUN	crise	nmod	NOUN	bouche	1	12.368492102261131
VERB	faire	de	NOUN	immigration	1	5.39967375750941
VERB	rejeter	obj	NOUN	texte	1	7.541131488400478
VERB	rejeter	nsubj	NOUN	député	3	8.857086208510054
VERB	proposer	obj	NOUN	focus	1	8.931921441432646
NOUN	condition	nmod	NOUN	violence	1	9.772722846583392
NOUN	condition	nmod	NOUN	témoignage	1	11.54113148840048
NOUN	témoignage	nmod	NOUN	occasion	2	9.516883942153802
VERB	baser	sur	NOUN	enquête	1	8.646519222570397
VERB	rêver	obj	NOUN	chose	1	11.03145711498356
VERB	arrêter	nsubj	NOUN	gauche	1	9.896297531701924
VERB	arrêter	de	VERB	rêver	1	11.709529020096197
